soffifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg
158023,https://sofifa.com/player/158023/lionel-messi/,L. Messi,Lionel Andrés Messi Cuccittini,32,1987-06-24,170,72
20801,https://sofifa.com/player/20801/cristiano-ronaldo/,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,1985-02-05,187,83
190871,https://sofifa.com/player/190871/neymar/,Neymar Jr,Neymar da Silva Santos Júnior,27,1992-02-05,175,68
192985,https://sofifa.com/player/192985/kevin-de-bruyne/,K. De Bruyne,Kevin De Bruyne,28,1991-06-28,181,68
200389,https://sofifa.com/player/200389/jan-oblak/,J. Oblak,Jan Oblak,27,1993-01-07,188,87
207863,https://sofifa.com/player/207863/virgil-van-dijk/,V. van Dijk,Virgil van Dijk,29,1991-07-08,193,92
211110,https://sofifa.com/player/211110/mohamed-salah/,Mohamed Salah,Mohamed Salah Hamed Mahrous Ghaly,28,1992-06-15,175,71
212831,https://sofifa.com/player/212831/luka-modric/,L. Modrić,Luka Modrić,34,1985-09-09,172,66
215330,https://sofifa.com/player/215330/eden-hazard/,E. Hazard,Eden Hazard,30,1991-01-07,175,74
218353,https://sofifa.com/player/218353/harry-kane/,H. Kane,Harry Kane,28,1993-07-28,188,86
219658,https://sofifa.com/player/219658/antoine-griezmann/,A. Griezmann,Antoine Griezmann,30,1991-03-21,176,73
220834,https://sofifa.com/player/220834/ngolo-kante/,N. Kanté,N'Golo Kanté,29,1991-03-29,168,70
224232,https://sofifa.com/player/224232/karim-benzema/,K. Benzema,Karim Benzema,31,1987-12-19,185,81
225316,https://sofifa.com/player/225316/raheem-sterling/,R. Sterling,Raheem Sterling,26,1994-12-08,170,69
226597,https://sofifa.com/player/226597/paul-pogba/,P. Pogba,Paul Pogba,28,1993-03-15,191,84
227796,https://sofifa.com/player/227796/alisson-becker/,Alisson,Alisson Becker,28,1992-10-02,191,91
228702,https://sofifa.com/player/228702/sergio-ramos/,Sergio Ramos,Sergio Ramos García,35,1986-03-30,184,82
229391,https://sofifa.com/player/229391/robert-lewandowski/,R. Lewandowski,Robert Lewandowski,32,1988-08-21,185,80
230621,https://sofifa.com/player/230621/kylian-mbappe/,K. Mbappé,Kylian Mbappé,22,1998-12-20,178,73
231281,https://sofifa.com/player/231281/erling-haaland/,E. Haaland,Erling Haaland,21,2000-07-21,194,88
